"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@babel/parser","7.22.5","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fparser"
"nodejs","@babel/runtime","7.22.5","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
"nodejs","@kurkle/color","0.3.2","MIT","Copyright (c) 2018-2021 Jukka Kurkela","https://www.npmjs.com/package/%40kurkle%2Fcolor"
"nodejs","@types/node","--","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fnode"
"nodejs","@vue/compiler-core","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fcompiler-core"
"nodejs","@vue/compiler-dom","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fcompiler-dom"
"nodejs","@vue/compiler-sfc","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fcompiler-sfc"
"nodejs","@vue/compiler-ssr","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fcompiler-ssr"
"nodejs","@vue/composition-api","--","MIT","Copyright (c) 2019-present, liximomo(X.L)","https://www.npmjs.com/package/%40vue%2Fcomposition-api"
"nodejs","@vue/devtools-api","6.5.0","MIT","Copyright (c) 2014-present Evan You","https://www.npmjs.com/package/%40vue%2Fdevtools-api"
"nodejs","@vue/reactivity","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Freactivity"
"nodejs","@vue/reactivity-transform","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Freactivity-transform"
"nodejs","@vue/runtime-core","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fruntime-core"
"nodejs","@vue/runtime-dom","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fruntime-dom"
"nodejs","@vue/server-renderer","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fserver-renderer"
"nodejs","@vue/shared","3.2.47","MIT","Copyright (c) 2018-present, Yuxi (Evan) You","https://www.npmjs.com/package/%40vue%2Fshared"
"nodejs","@vuelidate/core","2.0.2","MIT","Copyright (c) 2019 Damian Dulisz","https://www.npmjs.com/package/%40vuelidate%2Fcore"
"nodejs","@vuelidate/validators","2.0.2","MIT","Copyright (c) 2019 Damian Dulisz","https://www.npmjs.com/package/%40vuelidate%2Fvalidators"
"nodejs","anymatch","3.1.3","ISC","Copyright (c) 2019 Elan Shanker, Paul Miller (https://paulmillr.com)","https://www.npmjs.com/package/anymatch"
"nodejs","asynckit","0.4.0","MIT","Copyright (c) 2016 Alex Indigo","https://www.npmjs.com/package/asynckit"
"nodejs","axios","1.4.0","MIT","Copyright (c) 2014-present Matt Zabriskie","https://www.npmjs.com/package/axios"
"nodejs","binary-extensions","2.2.0","MIT","Copyright (c) 2019 Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com), Paul Miller (https://paulmillr.com)","https://www.npmjs.com/package/binary-extensions"
"nodejs","braces","3.0.2","MIT","Copyright (c) 2014-2018, Jon Schlinkert.","https://www.npmjs.com/package/braces"
"nodejs","chart.js","4.3.0","MIT","Copyright (c) 2014-2022 Chart.js Contributors","https://www.npmjs.com/package/chart.js"
"nodejs","chokidar","3.5.3","MIT","Copyright (c) 2012-2019 Paul Miller (https://paulmillr.com), Elan Shanker","https://www.npmjs.com/package/chokidar"
"nodejs","combined-stream","1.0.8","MIT","Copyright (c) 2011 Debuggable Limited","https://www.npmjs.com/package/combined-stream"
"nodejs","csstype","2.6.21","MIT","Copyright (c) 2017-2018 Fredrik Nicol","https://www.npmjs.com/package/csstype"
"nodejs","date-fns","2.30.0","MIT","Copyright (c) 2021 Sasha Koss and Lesha Koss https://kossnocorp.mit-license.org","https://www.npmjs.com/package/date-fns"
"nodejs","delayed-stream","1.0.0","MIT","Copyright (c) 2011 Debuggable Limited","https://www.npmjs.com/package/delayed-stream"
"nodejs","estree-walker","2.0.2","MIT","Copyright (c) 2015-20 [these people](https://github.com/Rich-Harris/estree-walker/graphs/contributors)","https://www.npmjs.com/package/estree-walker"
"nodejs","fill-range","7.0.1","MIT","Copyright (c) 2014-present, Jon Schlinkert.","https://www.npmjs.com/package/fill-range"
"nodejs","follow-redirects","1.15.2","MIT","Copyright 2014–present Olivier Lalonde <olalonde@gmail.com>, James Talmage <james@talmage.io>, Ruben Verborgh","https://www.npmjs.com/package/follow-redirects"
"nodejs","form-data","4.0.0","MIT","Copyright (c) 2012 Felix Geisendrfer (felixdebuggable.com) and contributors","https://www.npmjs.com/package/form-data"
"nodejs","fsevents","--","MIT","Copyright (C) 2010-2020 by Philipp Dunkel, Ben Noordhuis, Elan Shankar, Paul Miller","https://www.npmjs.com/package/fsevents"
"nodejs","glob-parent","5.1.2","ISC","Copyright (c) 2015, 2019 Elan Shanker, 2021 Blaine Bublitz <blaine.bublitz@gmail.com>, Eric Schoffstall <yo@contra.io> and other contributors","https://www.npmjs.com/package/glob-parent"
"nodejs","immutable","4.3.0","MIT","Copyright (c) 2014-present, Lee Byron and other contributors.","https://www.npmjs.com/package/immutable"
"nodejs","is-binary-path","2.1.0","MIT","Copyright (c) 2019 Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com), Paul Miller (https://paulmillr.com)","https://www.npmjs.com/package/is-binary-path"
"nodejs","is-extglob","2.1.1","MIT","Copyright (c) 2014-2016, Jon Schlinkert","https://www.npmjs.com/package/is-extglob"
"nodejs","is-glob","4.0.3","MIT","Copyright (c) 2014-2017, Jon Schlinkert.","https://www.npmjs.com/package/is-glob"
"nodejs","is-number","7.0.0","MIT","Copyright (c) 2014-present, Jon Schlinkert.","https://www.npmjs.com/package/is-number"
"nodejs","less","--","Apache-2.0","Copyright (c) 2009-2017 [Alexis Sellier](http://cloudhead.io) & The Core Less TeamLicensed under the [Apache License](LICENSE).","https://www.npmjs.com/package/less"
