"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@ampproject/remapping","2.2.0","Apache-2.0","Copyright 2019 The AMP HTML Authors. All Rights Reserved.","https://www.npmjs.com/package/%40ampproject%2Fremapping"
"nodejs","@apideck/better-ajv-errors","0.3.6","MIT","Copyright (c) 2021 Apideck","https://www.npmjs.com/package/%40apideck%2Fbetter-ajv-errors"
"nodejs","@babel/code-frame","7.18.6","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcode-frame"
"nodejs","@babel/compat-data","7.21.0","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcompat-data"
"nodejs","@babel/core","7.21.3","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@babel/generator","7.21.3","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fgenerator"
"nodejs","@babel/helper-annotate-as-pure","7.18.6","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-annotate-as-pure"
"nodejs","@babel/helper-builder-binary-assignment-operator-visitor","7.18.9","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-builder-binary-assignment-operator-visitor"
"nodejs","@babel/helper-compilation-targets","7.20.7","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-compilation-targets"
"nodejs","@babel/helper-create-class-features-plugin","7.21.0","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-create-class-features-plugin"
"nodejs","@babel/helper-create-regexp-features-plugin","7.21.0","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-create-regexp-features-plugin"
"nodejs","@babel/helper-define-polyfill-provider","0.3.3","MIT","Copyright (c) 2020-present Nicolò Ribaudo and other contributors","https://www.npmjs.com/package/%40babel%2Fhelper-define-polyfill-provider"
